replicate	seed	selected_C	validation_average_precision	average_precision	brier	roc_auc	real_context_support_ap	real_minus_shuffled_ap
118	20262932	0.1	0.8177950695436775	0.8106704747439646	0.1980184745236918	0.65776208723455	0.9571531912808816	0.146482716536917
119	20262933	0.1	0.8180383249364861	0.810949786267875	0.1980232659267775	0.6576541233320613	0.9571531912808816	0.1462034050130066
120	20262934	1.0	0.8175014449318954	0.8113360403108244	0.1980181224140663	0.65782624443107	0.9571531912808816	0.1458171509700572
121	20262935	0.1	0.8172788595618273	0.8105132146275298	0.1980215025163008	0.6573756574180128	0.9571531912808816	0.1466399766533518
122	20262936	10.0	0.8175246185604143	0.8107541000728543	0.1980301787845488	0.6572331742970795	0.9571531912808816	0.1463990912080273
123	20262937	0.01	0.8176485563964935	0.8110274587888275	0.1980227339492609	0.6574041204729675	0.9571531912808816	0.146125732492054
124	20262938	0.1	0.8180133127184543	0.8110630206699871	0.1980199664968613	0.6576225431341338	0.9571531912808816	0.1460901706108944
125	20262939	0.1	0.817960431792944	0.8108737181410073	0.1980255956856626	0.6574275675539004	0.9571531912808816	0.1462794731398743
126	20262940	10.0	0.8176232733245316	0.8109419275961096	0.1980155744195803	0.6579655019370224	0.9571531912808816	0.146211263684772
127	20262941	0.01	0.8176604806738608	0.8107347341838748	0.1980244935525461	0.6573649061292832	0.9571531912808816	0.1464184570970068
128	20262942	1.0	0.8176293277298432	0.810962584936179	0.1980214224651746	0.6576662505025793	0.9571531912808816	0.1461906063447026
129	20262943	10.0	0.817562998840955	0.8110797736686506	0.1980217788832315	0.6574480767561266	0.9571531912808816	0.146073417612231
130	20262944	0.1	0.817181639641235	0.810657168568534	0.1980190611430231	0.65760326822918	0.9571531912808816	0.1464960227123476
131	20262945	0.1	0.8177658327126578	0.8107454952191171	0.1980209202109075	0.657580938980837	0.9571531912808816	0.1464076960617645
132	20262946	1.0	0.8177662940832039	0.8103290893499977	0.1980225785572755	0.657238562501361	0.9571531912808816	0.1468241019308839
133	20262947	0.1	0.8176948556492205	0.8106634036846849	0.1980225537923894	0.6573341423259438	0.9571531912808816	0.1464897875961966
134	20262948	1.0	0.8179252870500675	0.8110290849416542	0.1980200552237602	0.6578473336730875	0.9571531912808816	0.1461241063392274
135	20262949	0.01	0.817247383323277	0.8106045216360874	0.1980220042014827	0.6573635941888892	0.9571531912808816	0.1465486696447941
136	20262950	10.0	0.8173386141249638	0.8107888171927367	0.198021185930809	0.6579225333200434	0.9571531912808816	0.1463643740881449
137	20262951	0.01	0.8176045619449102	0.8104118048693116	0.1980226035358922	0.6572218235577781	0.9571531912808816	0.1467413864115699
138	20262952	1.0	0.8175907345957638	0.8106000832510414	0.1980250571709801	0.6575239717657456	0.9571531912808816	0.1465531080298402
139	20262953	0.01	0.8169424727402896	0.8110224732676339	0.198022175946525	0.6575997879904324	0.9571531912808816	0.1461307180132477
140	20262954	1.0	0.8171792122815519	0.8108132855765893	0.1980214054263422	0.6576540479725609	0.9571531912808816	0.1463399057042923
141	20262955	1.0	0.817501921973322	0.8104015959807838	0.198019699056762	0.6575211183810244	0.9571531912808816	0.1467515953000978
142	20262956	1.0	0.8172909216592956	0.8107235500942054	0.198023206632644	0.6573541890948719	0.9571531912808816	0.1464296411866762
143	20262957	10.0	0.8173934345983266	0.8106935271620743	0.1980106448817186	0.657711133935956	0.9571531912808816	0.1464596641188073
144	20262958	0.1	0.8180957187110189	0.8108255227038501	0.1980225197144904	0.6575814128322414	0.9571531912808816	0.1463276685770315
145	20262959	0.01	0.8179419155556502	0.811274495868679	0.1980259248568463	0.657330898441993	0.9571531912808816	0.1458786954122026
146	20262960	0.1	0.8176097136450406	0.8106759087167359	0.1980280713046835	0.6575712255979543	0.9571531912808816	0.1464772825641457
147	20262961	0.1	0.8179669168556445	0.8107285671153059	0.1980241793387016	0.6573236593627082	0.9571531912808816	0.1464246241655756
148	20262962	0.01	0.8172510135273907	0.8109609957339388	0.1980237920287607	0.6572779857963875	0.9571531912808816	0.1461921955469428
149	20262963	0.01	0.8172092361976333	0.8108633043199635	0.1980245098727683	0.6573839732247055	0.9571531912808816	0.1462898869609181
150	20262964	0.01	0.8176710993791336	0.8109436921976577	0.1980254851252264	0.6574546467343925	0.9571531912808816	0.1462094990832239
151	20262965	0.1	0.8176604874303645	0.811092260676402	0.1980214501825354	0.6576645492047664	0.9571531912808816	0.1460609306044795
152	20262966	10.0	0.8174634656086899	0.8107631544121303	0.1980216443806065	0.6573941307719164	0.9571531912808816	0.1463900368687513
153	20262967	1.0	0.817602159898015	0.8103150831885431	0.1980209763394696	0.6575315374028659	0.9571531912808816	0.1468381080923385
154	20262968	0.01	0.8179536886114522	0.8107897422438154	0.1980211757695738	0.657600393150057	0.9571531912808816	0.1463634490370662
155	20262969	1.0	0.8182476739062585	0.8104576243096606	0.198023984858521	0.6574143784995126	0.9571531912808816	0.146695566971221
156	20262970	0.01	0.8173330829150596	0.8112942065250042	0.1980195936440812	0.6576857297916329	0.9571531912808816	0.1458589847558774
157	20262971	0.1	0.818155067385411	0.810966147140553	0.1980227008387408	0.6573341937074213	0.9571531912808816	0.1461870441403285
158	20262972	0.01	0.8178951379377982	0.8108659487842876	0.1980147288938909	0.6577059980718197	0.9571531912808816	0.1462872424965939
159	20262973	0.1	0.817830812068364	0.8108088373902835	0.1980203230511492	0.6575103579578098	0.9571531912808816	0.146344353890598
160	20262974	0.1	0.8175950093862124	0.8107593990542435	0.1980198239219706	0.6577815436873912	0.9571531912808816	0.146393792226638
161	20262975	1.0	0.8178945360081598	0.8108771246043434	0.1980258073077108	0.6574371827410704	0.9571531912808816	0.1462760666765382
162	20262976	0.01	0.8174138743824743	0.8105728843654192	0.1980222611165019	0.6575651705762748	0.9571531912808816	0.1465803069154624
163	20262977	0.01	0.817699735789434	0.8103426780163708	0.198025762560077	0.6571146623481501	0.9571531912808816	0.1468105132645107
